mysql> select * from histories order by recno;
+---------------------------+--------------------------------------------------------------------------------------------------------------------------------------------+-------+
| historyFilename           | historyCommand                                                                                                                             | recno |
| home/john/.bash_history   | date | nc 192.168.56.1 9999                                                                                                                |    80 |
| home/john/.bash_history   | uname -a | nc 192.168.56.1 9999                                                                                                            |    81 |
| home/john/.bash_history   | nc 192.168.56.1 4444 < /bin/bash                                                                                                           |    82 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/                                                                                       |    83 |
| home/john/.bash_history   | sudo -s                                                                                                                                    |    84 |
| home/john/.bash_history   | ls                                                                                                                                         |    85 |
| home/john/.bash_history   | ls /mnt                                                                                                                                    |    86 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/                                                                                       |    87 |
| home/john/.bash_history   | cd x64/                                                                                                                                    |    88 |
| home/john/.bash_history   | ls                                                                                                                                         |    89 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |    90 |
| home/john/.bash_history   | export PATH=$(pwd)/bin:$(pwd)/sbin                                                                                                         |    91 |
| home/john/.bash_history   | export LD_LIBRARY_PATH=$(pwd)/lib64:$(pwd)/lib                                                                                             |    92 |
| home/john/.bash_history   | ifconfig                                                                                                                                   |    93 |
| home/john/.bash_history   | echo $PATH                                                                                                                                 |    94 |
| home/john/.bash_history   | source bin/setup-client.sh 192.168.56.1                                                                                                    |    95 |
| home/john/.bash_history   | bash bin/send-log.sh date                                                                                                                  |    96 |
| home/john/.bash_history   | bash bin/send-log.sh ifconfig                                                                                                              |    97 |
| home/john/.bash_history   | bash bin/send-log.sh ps -ef                                                                                                                |    98 |
| home/john/.bash_history   | bash bin/send-log.sh ps -ef lsof                                                                                                           |    99 |
| home/john/.bash_history   | bash bin/send-log.sh lsof                                                                                                                  |   100 |
| home/john/.bash_history   | bash bin/send-log.sh route                                                                                                                 |   101 |
| home/john/.bash_history   | bash bin/send-log.sh netstat                                                                                                               |   102 |
| home/john/.bash_history   | bash bin/send-file.sh /bin/bash                                                                                                            |   103 |
| home/john/.bash_history   | /usr/bin/lsof                                                                                                                              |   104 |
| home/john/.bash_history   | cd bin                                                                                                                                     |   105 |
| home/john/.bash_history   | ls                                                                                                                                         |   106 |
| home/john/.bash_history   | cp /usr/bin/lsof ./.                                                                                                                       |   107 |
| home/john/.bash_history   | cp /usr/bin/basename ./.                                                                                                                   |   108 |
| home/john/.bash_history   | ls                                                                                                                                         |   109 |
| home/john/.bash_history   | cd ..                                                                                                                                      |   110 |
| home/john/.bash_history   | bash bin/send-file.sh /bin/bash                                                                                                            |   111 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/                                                                                       |   112 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |   113 |
| home/john/.bash_history   | cd x64                                                                                                                                     |   114 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |   115 |
| home/john/.bash_history   | export PATH=$(pwd)/bin:$(pwd)/sbin                                                                                                         |   116 |
| home/john/.bash_history   | export LD_LIBRARY_PATH=$(pwd)/lib64:$(pwd)/lib                                                                                             |   117 |
| home/john/.bash_history   | source bin/setup-client.sh 192.168.56.1                                                                                                    |   118 |
| home/john/.bash_history   | bash bin/send-log.sh date                                                                                                                  |   119 |
| home/john/.bash_history   | bash bin/send-log.sh ifconfig                                                                                                              |   120 |
| home/john/.bash_history   | bash bin/send-log.sh netstat                                                                                                               |   121 |
| home/john/.bash_history   | bash bin/send-log.sh lsof                                                                                                                  |   122 |
| home/john/.bash_history   | bash bin/send-file.sh /bin/bash                                                                                                            |   123 |
| home/john/.bash_history   | bash bin/send-file.sh /bin/false                                                                                                           |   124 |
| home/john/.bash_history   | sudo -s                                                                                                                                    |   125 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/                                                                                   |   126 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |   127 |
| home/john/.bash_history   | export PATH=$(pwd)/bin:$(pwd)/sbin                                                                                                         |   128 |
| home/john/.bash_history   | export LD_LIBRARY_PATH=$(pwd)/lib64:$(pwd)/lib                                                                                             |   129 |
| home/john/.bash_history   | source bin/setup-client.sh 192.168.56.1                                                                                                    |   130 |
| home/john/.bash_history   | bash bin/inital-scan.sh                                                                                                                    |   131 |
| home/john/.bash_history   | bash bin/initial-scan.sh                                                                                                                   |   132 |
| home/john/.bash_history   | cd                                                                                                                                         |   133 |
| home/john/.bash_history   | mount                                                                                                                                      |   134 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/                                                                                   |   135 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |   136 |
| home/john/.bash_history   | w                                                                                                                                          |   137 |
| home/john/.bash_history   | useradd johnn                                                                                                                              |   138 |
| home/john/.bash_history   | userdel johnn                                                                                                                              |   139 |
| home/john/.bash_history   | adduser johnn                                                                                                                              |   140 |
| home/john/.bash_history   | cp /bin/true /bin/false                                                                                                                    |   141 |
| home/john/.bash_history   | ls -l /bin/false                                                                                                                           |   142 |
| home/john/.bash_history   | passwd whoopsie                                                                                                                            |   143 |
| home/john/.bash_history   | passwd lightdm                                                                                                                             |   144 |
| home/john/.bash_history   | cp /bin/bash /bin/false                                                                                                                    |   145 |
| home/john/.bash_history   | vi /etc/gr/group                                                                                                                           |   146 |
| home/john/.bash_history   | vi /etc/groups                                                                                                                             |   147 |
| home/john/.bash_history   | cd /etc                                                                                                                                    |   148 |
| home/john/.bash_history   | ls gr*                                                                                                                                     |   149 |
| home/john/.bash_history   | cat passwd                                                                                                                                 |   150 |
| home/john/.bash_history   | cd /home                                                                                                                                   |   151 |
| home/john/.bash_history   | ls                                                                                                                                         |   152 |
| home/john/.bash_history   | mv johnn .johnn                                                                                                                            |   153 |
| home/john/.bash_history   | ls                                                                                                                                         |   154 |
| home/john/.bash_history   | ls -l                                                                                                                                      |   155 |
| home/john/.bash_history   | vi /etc/passwd                                                                                                                             |   156 |
| home/john/.bash_history   | man sed                                                                                                                                    |   157 |
| home/john/.bash_history   | sed #/home/johnn#/home/.johnn# /etc/passwd                                                                                                 |   158 |
| home/john/.bash_history   | sed -i 's#/home/johnn#/home/.johnn#' /etc/passwd                                                                                           |   159 |
| home/john/.bash_history   | tail /etc/passwd                                                                                                                           |   160 |
| home/john/.bash_history   | ./install                                                                                                                                  |   161 |
| home/john/.bash_history   | nmap localhost                                                                                                                             |   162 |
| home/john/.bash_history   | cd ..                                                                                                                                      |   163 |
| home/john/.bash_history   | ls                                                                                                                                         |   164 |
| home/john/.bash_history   | pwd                                                                                                                                        |   165 |
| home/john/.bash_history   | ls                                                                                                                                         |   166 |
| home/john/.bash_history   | ls -a                                                                                                                                      |   167 |
| home/john/.bash_history   | cd ..                                                                                                                                      |   168 |
| home/john/.bash_history   | pwd                                                                                                                                        |   169 |
| home/john/.bash_history   | cd Downloads/                                                                                                                              |   170 |
| home/john/.bash_history   | ls                                                                                                                                         |   171 |
| home/john/.bash_history   | cd ..                                                                                                                                      |   172 |
| home/john/.bash_history   | cd /home                                                                                                                                   |   173 |
| home/john/.bash_history   | ls                                                                                                                                         |   174 |
| home/john/.bash_history   | ls -a                                                                                                                                      |   175 |
| home/john/.bash_history   | clear                                                                                                                                      |   176 |
| home/john/.bash_history   | ls                                                                                                                                         |   177 |
| home/john/.bash_history   | cd Downloads/                                                                                                                              |   178 |
| home/john/.bash_history   | ls                                                                                                                                         |   179 |
| home/john/.bash_history   | cd xingyiquan/                                                                                                                             |   180 |
| home/john/.bash_history   | ls                                                                                                                                         |   181 |
| home/john/.bash_history   | more README                                                                                                                                |   182 |
| home/john/.bash_history   | sudo -s                                                                                                                                    |   183 |
| home/john/.bash_history   | ls                                                                                                                                         |   184 |
| home/john/.bash_history   | cd ..                                                                                                                                      |   185 |
| home/john/.bash_history   | ls                                                                                                                                         |   186 |
| home/john/.bash_history   | nmap localhost                                                                                                                             |   187 |
| home/john/.bash_history   | q                                                                                                                                          |   188 |
| home/john/.bash_history   | export PATH=$(pwd)/sbin:$(pwd)/bin                                                                                                         |   189 |
| home/john/.bash_history   | export LD_LIBRARY_PATH=$(pwd)/lib64:$(pwd)/lib                                                                                             |   190 |
| home/john/.bash_history   | source bin/setup-client.sh 192.168.56.1                                                                                                    |   191 |
| home/john/.bash_history   | bash bin/initial-scan.sh                                                                                                                   |   192 |
| home/john/.bash_history   | sudo -s                                                                                                                                    |   193 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/                                                                                   |   194 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |   195 |
| home/john/.bash_history   | ls                                                                                                                                         |   196 |
| home/john/.bash_history   | make                                                                                                                                       |   197 |
| home/john/.bash_history   | cp lime-3.16.0-30-generic.ko ../../.                                                                                                       |   198 |
| home/john/.bash_history   | cd ../..                                                                                                                                   |   199 |
| home/john/.bash_history   | ls                                                                                                                                         |   200 |
| home/john/.bash_history   | insmod lime-3.16.0-30-generic.ko "path=tcp:4444 format=lime"                                                                               |   201 |
| home/john/.bash_history   | ls                                                                                                                                         |   202 |
| home/john/.bash_history   | uname -a                                                                                                                                   |   203 |
| home/john/.bash_history   | insmod lime-3.16.0-30-generic.ko "path=tcp:4444 format=lime"                                                                               |   204 |
| home/john/.bash_history   | delmod lime-3.16.0-30-generic                                                                                                              |   205 |
| home/john/.bash_history   | modprobe -r lime-3.16.0-30-generic                                                                                                         |   206 |
| home/john/.bash_history   | lsmod | grep lime                                                                                                                          |   207 |
| home/john/.bash_history   | modprobe -r lime                                                                                                                           |   208 |
| home/john/.bash_history   | lsmod | grep lime                                                                                                                          |   209 |
| home/john/.bash_history   | lsmod                                                                                                                                      |   210 |
| home/john/.bash_history   | exit                                                                                                                                       |   211 |
| home/john/.bash_history   | uname -a                                                                                                                                   |   212 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/                                                                                       |   213 |
| home/john/.bash_history   | ls                                                                                                                                         |   214 |
| home/john/.bash_history   | cd x64/                                                                                                                                    |   215 |
| home/john/.bash_history   | ls                                                                                                                                         |   216 |
| home/john/.bash_history   | cd LiMe                                                                                                                                    |   217 |
| home/john/.bash_history   | ls                                                                                                                                         |   218 |
| home/john/.bash_history   | cd src                                                                                                                                     |   219 |
| home/john/.bash_history   | ls -l                                                                                                                                      |   220 |
| home/john/.bash_history   | sudo -s                                                                                                                                    |   221 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/                                                                                   |   222 |
| home/john/.bash_history   | ls                                                                                                                                         |   223 |
| home/john/.bash_history   | ls                                                                                                                                         |   224 |
| home/john/.bash_history   | uname -a                                                                                                                                   |   225 |
| home/john/.bash_history   | insmod lime-3.16.0-30-generic.ko "path=tcp:4444 format=lime"                                                                               |   226 |
| home/john/.bash_history   | cd /lib/modules                                                                                                                            |   227 |
| home/john/.bash_history   | ls                                                                                                                                         |   228 |
| home/john/.bash_history   | cd 3.16.0-30-generic/                                                                                                                      |   229 |
| home/john/.bash_history   | ls                                                                                                                                         |   230 |
| home/john/.bash_history   | cd build                                                                                                                                   |   231 |
| home/john/.bash_history   | ls                                                                                                                                         |   232 |
| home/john/.bash_history   | cd ..                                                                                                                                      |   233 |
| home/john/.bash_history   | ls                                                                                                                                         |   234 |
| home/john/.bash_history   | cd ..                                                                                                                                      |   235 |
| home/john/.bash_history   | ls                                                                                                                                         |   236 |
| home/john/.bash_history   | cd Downloads/                                                                                                                              |   237 |
| home/john/.bash_history   | ls                                                                                                                                         |   238 |
| home/john/.bash_history   | cd xingyiquan/                                                                                                                             |   239 |
| home/john/.bash_history   | ls                                                                                                                                         |   240 |
| home/john/.bash_history   | sudo ./install                                                                                                                             |   241 |
| home/john/.bash_history   | ls                                                                                                                                         |   242 |
| home/john/.bash_history   | cd ..                                                                                                                                      |   243 |
| home/john/.bash_history   | ls                                                                                                                                         |   244 |
| home/john/.bash_history   | cd ..                                                                                                                                      |   245 |
| home/john/.bash_history   | sudo -s                                                                                                                                    |   246 |
| home/john/.bash_history   | sudo su -                                                                                                                                  |   247 |
| home/john/.bash_history   | ls                                                                                                                                         |   248 |
| home/john/.bash_history   | uname -a                                                                                                                                   |   249 |
| home/john/.bash_history   | ifconfig                                                                                                                                   |   250 |
